Country,Athletes-2004,Athletes-2008,Athletes-2012,Athletes-2016
Afghanistan ,5,4,6,3
Albania ,7,11,12,6
Algeria ,61,62,42,64
American Samoa ,3,4,5,4
Andorra ,6,5,6,5
Angola ,30,32,34,25
Antigua and Barbuda ,5,5,5,9
Argentina ,152,137,137,213
Armenia ,18,25,25,33
Aruba ,4,2,4,7
Australia ,470,433,410,421
Austria ,74,70,70,71
Azerbaijan ,36,44,53,56
Bahamas ,22,25,24,28
Bahrain ,10,15,12,35
Bangladesh ,4,5,5,7
Barbados ,10,6,6,12
Belarus ,151,181,165,121
Belgium ,50,96,115,108
Belize ,2,3,3,3
Benin ,4,5,5,6
Bermuda ,10,6,8,8
Bhutan ,2,2,2,2
Bolivia ,7,7,6,12
Bosnia and Herzegovina ,9,5,6,11
Botswana ,11,12,4,12
Brazil ,243,277,258,465
British Virgin Islands ,1,2,2,4
Brunei ,1,,3,3
Bulgaria ,95,72,63,51
Burkina Faso ,5,6,5,5
Burundi ,7,3,6,9
Cambodia ,4,4,6,6
Cameroon ,17,33,33,24
Canada ,263,332,277,314
Cape Verde ,3,2,3,5
Cayman Islands ,5,4,5,5
Central African Republic ,4,3,6,6
Chad ,1,2,3,2
Chile ,22,27,35,42
China ,384,639,396,413
Colombia ,53,64,104,147
Comoros ,3,3,3,4
Republic of the Congo ,5,5,7,10
Cook Islands ,3,4,8,9
Costa Rica ,20,8,11,10
Croatia ,81,99,108,87
Cuba ,151,149,110,120
Cyprus ,20,17,13,16
Czech Republic ,142,134,133,105
Democratic Republic of the Congo ,4,5,4,4
Denmark ,92,84,113,122
Dominica ,2,2,2,2
Dominican Republic ,33,25,35,29
Ecuador ,16,25,36,38
Egypt ,97,103,113,120
El Salvador ,8,11,10,8
Equatorial Guinea ,2,3,2,2
Eritrea ,4,9,12,12
Estonia ,42,47,33,45
Ethiopia ,26,22,35,34
Federated States of Micronesia ,5,5,6,5
Fiji ,10,6,9,51
Finland ,53,58,55,56
France ,308,323,330,399
Gabon ,5,4,24,6
The Gambia ,2,3,2,4
Georgia ,32,35,35,39
Germany ,441,463,392,425
Ghana ,29,9,9,14
Great Britain ,264,311,541,366
Greece ,426,156,104,95
Grenada ,5,9,10,6
Guam ,4,5,8,5
Guatemala ,18,12,19,21
Guinea ,3,5,4,5
Guinea-Bissau ,3,3,4,5
Guyana ,4,5,6,6
Haiti ,8,7,5,10
Honduras ,5,25,27,26
Hong Kong ,32,34,42,38
Hungary ,209,171,157,160
Iceland ,26,28,27,8
India ,73,57,83,117
Indonesia ,38,24,22,28
Iran ,37,55,53,64
Iraq ,24,4,8,23
Ireland ,46,54,66,77
Israel ,36,43,37,48
Italy ,364,344,285,314
Ivory Coast ,5,20,10,12
Jamaica ,47,50,50,68
Japan ,306,351,293,338
Jordan ,8,7,9,8
Kazakhstan ,114,132,114,104
Kenya ,46,56,47,89
Kiribati ,3,2,3,3
North Korea ,36,63,51,35
South Korea ,264,267,248,205
Kuwait ,11,6,11,
Kyrgyzstan ,29,21,14,19
Laos ,5,4,3,6
Latvia ,32,50,46,34
Lebanon ,5,5,10,9
Lesotho ,3,5,4,8
Liberia ,2,3,4,2
Libya ,8,7,5,7
Liechtenstein ,1,2,3,3
Lithuania ,59,71,62,67
Luxembourg ,10,12,9,10
Macedonia ,10,7,4,6
Madagascar ,8,4,7,6
Malawi ,4,4,3,5
Malaysia ,26,33,30,32
Maldives ,4,3,5,4
Mali ,21,17,6,6
Malta ,7,6,5,7
Mauritania ,2,2,2,2
Mauritius ,9,12,11,12
Mexico ,109,85,102,125
Moldova ,33,31,22,23
Monaco ,3,5,6,3
Mongolia ,20,29,29,43
Morocco ,55,57,67,51
Mozambique ,4,5,6,6
Myanmar ,2,6,6,7
Namibia ,8,9,9,10
Nauru ,3,1,2,2
Nepal ,6,8,5,7
Netherlands ,210,245,175,242
Netherlands Antilles ,3,3,,
New Zealand ,148,182,184,199
Nicaragua ,5,6,6,5
Niger ,4,5,6,6
Nigeria ,70,33,55,75
Norway ,52,85,64,62
Oman ,2,5,4,4
Pakistan ,26,21,21,7
Palau ,4,5,5,5
Palestine ,3,4,5,6
Panama ,4,3,7,10
Papua New Guinea ,4,7,8,8
Paraguay ,22,5,8,11
Peru ,12,12,16,29
Philippines ,16,15,11,13
Poland ,194,268,218,243
Portugal ,81,77,77,92
Puerto Rico ,43,22,25,42
Qatar ,15,22,12,38
Romania ,108,102,103,97
Russia ,446,467,436,282
Rwanda ,5,4,7,8
Saint Kitts and Nevis ,2,4,7,7
Saint Lucia ,2,6,4,5
Saint Vincent and the Grenadines ,3,2,3,4
São Tomé and Príncipe ,2,3,2,3
Samoa ,3,6,8,8
San Marino ,5,4,4,5
Saudi Arabia ,16,16,19,11
Senegal ,16,12,31,22
Serbia and Montenegro ,85,,,
Seychelles ,9,8,6,10
Sierra Leone ,2,3,2,4
Singapore ,16,25,23,25
Slovakia ,64,57,47,51
Slovenia ,79,62,65,61
Solomon Islands ,2,3,4,3
Somalia ,2,2,2,2
South Africa ,106,136,125,137
Spain ,317,286,282,306
Sri Lanka ,8,8,7,9
Sudan ,4,9,6,6
Suriname ,4,4,5,6
Swaziland ,3,4,3,2
Sweden ,115,134,134,152
Switzerland ,98,84,102,104
Syria ,6,8,10,7
Chinese Taipei ,88,80,44,60
Tajikistan ,9,13,16,7
Tanzania ,8,10,7,7
Thailand ,42,51,37,54
Timor-Leste ,2,2,2,3
Togo ,3,4,6,5
Tonga ,5,3,3,7
Trinidad and Tobago ,19,30,30,32
Tunisia ,54,32,83,61
Turkey ,64,68,114,103
Turkmenistan ,9,10,10,9
Uganda ,11,15,16,21
Ukraine ,239,254,237,203
United Arab Emirates ,4,8,26,13
United States ,533,588,530,554
Uruguay ,15,12,29,17
Uzbekistan ,69,58,54,70
Vanuatu ,2,3,5,4
Venezuela ,48,109,70,87
Vietnam ,11,21,18,23
Virgin Islands ,6,5,7,7
Yemen ,3,5,4,3
Zambia ,6,8,7,7
Zimbabwe ,12,13,7,31
