Country,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Pop-2004,Pop-2008,Pop-2012,Pop-2016,GDP-2004,GDP-2008,GDP-2012,GDP-2016,Athletes-2004,Athletes-2008,Athletes-2012,Athletes-2016
United States,36,39,26,101,36,39,37,112,47,27,30,104,46,37,38,121,295517,309348,309348,321369,41642.0,48471.0,51737,57840,533,588,530,554
China,32,17,14,63,48,22,30,100,38,31,22,91,26,18,26,70,1302285,1336681,1336681,1367486,4381.0,7501.0,11137,13432,384,639,396,413
Russia,28,26,36,90,24,13,23,60,19,21,27,67,19,17,20,56,143320,142527,142527,142424,14728.0,21700.0,24279,24104,446,467,436,282
Australia,17,16,17,50,14,15,17,46,8,15,12,35,8,11,10,29,20233,21516,21516,22752,34390.0,40527.0,42906,48135,470,433,410,421
Japan,16,9,12,37,9,8,8,25,7,14,17,38,12,8,21,41,127716,127580,127580,126920,30836.0,35512.0,37629,40641,306,351,293,338
Germany,13,16,20,49,16,11,14,41,11,20,13,44,17,10,15,42,82440,81645,81645,80855,32645.0,39835.0,43359,50575,441,463,392,425
France,11,9,13,33,7,16,20,43,11,11,13,35,10,18,14,42,63060,64941,64941,66554,32255.0,37416.0,39037,44422,308,323,330,399
Italy,10,11,11,32,8,9,10,27,8,9,11,28,8,12,8,28,59038,60749,60749,61856,32577.0,36514.0,36143,40231,364,344,285,314
South Korea,9,12,9,30,13,11,8,32,13,9,8,30,9,3,9,21,48006,48637,48637,49116,21872.0,28550.0,33557,39567,264,267,248,205
Great Britain,9,9,12,30,19,13,19,51,29,18,18,65,27,23,17,67,60488,62349,62349,64089,31688.0,36905.0,38297,44121,264,311,541,366
Cuba,9,7,11,27,3,10,17,30,5,3,7,15,5,2,4,11,11199,11099,11099,11032,3399.0,5386.0,6448,7657,151,149,110,120
Hungary,8,6,3,17,3,5,2,10,8,4,6,18,8,3,4,15,10058,9993,9993,9898,18544.0,22834.0,23179,27863,209,171,157,160
Ukraine,8,5,9,22,7,4,11,22,5,4,10,19,2,5,4,11,47003,45769,45769,44430,6536.0,9143.0,9389,11216,239,254,237,203
Romania,8,5,6,19,4,1,4,9,2,4,1,7,1,1,2,4,22198,21960,21960,21667,11808.0,18164.0,18834,24197,108,102,103,97
Greece,6,6,4,16,0,2,1,3,0,0,2,2,3,1,2,6,10669,10750,10750,10776,25345.0,30519.0,24819,27449,426,156,104,95
Brazil,5,2,3,10,3,4,10,17,3,5,9,17,7,6,6,19,186021,195835,195835,204260,10514.0,13397.0,15120,14326,243,277,258,465
Norway,5,0,1,6,3,5,1,9,2,1,1,4,0,0,4,4,4625,4892,4892,5208,53167.0,61820.0,65101,58736,52,85,64,62
Netherlands,4,9,9,22,7,5,4,16,6,6,8,20,8,7,4,19,16300,16574,16574,16948,37263.0,46004.0,47342,52441,210,245,175,242
Sweden,4,2,1,7,0,4,1,5,1,4,3,8,2,6,3,11,9083,9433,9433,9802,34868.0,41877.0,45259,50062,115,134,134,152
Spain,3,11,6,20,5,11,3,19,4,10,6,20,7,4,6,17,43705,46506,46506,48147,27856.0,32590.0,31725,37310,317,286,282,306
Canada,3,6,3,12,3,9,8,20,2,6,10,18,4,3,15,22,32387,33760,33760,35100,34390.0,40159.0,42351,46554,263,332,277,314
Turkey,3,3,5,11,1,1,3,5,1,1,1,3,1,3,4,8,70465,74687,74687,79415,13045.0,17042.0,20504,26514,64,68,114,103
Poland,3,2,5,10,4,5,2,11,3,2,6,11,2,3,6,11,38557,38617,38617,38563,14358.0,19620.0,23745,28321,194,268,218,243
New Zealand,3,2,0,5,3,2,4,9,6,2,5,13,4,9,5,18,4049,4253,4253,4439,26745.0,31304.0,32734,39266,148,182,184,199
Thailand,3,1,4,8,2,2,2,6,0,2,2,4,2,2,2,6,65113,66721,66721,67977,9611.0,12256.0,14871,16616,42,51,37,54
Belarus,2,5,6,13,3,4,7,14,2,5,3,10,1,4,4,9,9807,9681,9681,9590,8463.0,13894.0,18097,17787,151,181,165,121
Ethiopia,2,3,2,7,4,2,1,7,3,2,3,8,1,2,5,8,74355,86043,86043,99466,571.0,904.0,1315,2134,26,22,35,34
Iran,2,2,2,6,1,0,1,2,7,5,1,13,3,1,4,8,72283,76924,76924,81825,13190.0,16309.0,15846,13855,37,55,53,64
Slovakia,2,2,2,6,3,3,0,6,0,1,3,4,2,2,0,4,5408,5427,5427,5446,16258.0,24471.0,26983,29681,64,57,47,51
Chinese Taipei,2,2,1,5,1,1,2,4,1,0,1,2,1,0,2,3,22728,23127,23127,23416,26562.0,34952.0,41741,47272,88,80,44,60
Georgia,2,2,0,4,3,2,2,7,1,2,3,6,2,1,4,7,4791,4903,4903,4932,4539.0,7147.0,9799,12855,32,35,35,39
Bulgaria,2,1,9,12,1,1,3,5,0,2,1,3,0,1,2,3,7612,7392,7392,7187,9965.0,14638.0,16295,20091,95,72,63,51
Denmark,2,1,5,8,2,2,3,7,2,4,3,9,2,6,7,15,5433,5516,5516,5582,37792.0,44261.0,44893,52160,92,84,113,122
Jamaica,2,1,2,5,5,4,2,11,4,5,3,12,6,3,2,11,2737,2848,2848,2951,7488.0,8581.0,8586,9818,47,50,50,68
Uzbekistan,2,1,2,5,0,1,3,4,0,0,3,3,4,2,7,13,26540,27866,27866,29200,3374.0,4894.0,6107,6856,69,58,54,70
Morocco,2,1,0,3,0,1,1,2,0,0,1,1,0,0,1,1,29901,31628,31628,33323,4663.0,6008.0,6857,7356,55,57,67,51
Argentina,2,0,4,6,2,0,4,6,1,1,2,4,3,1,0,4,39182,41344,41344,43432,12303.0,17567.0,19641,20308,152,137,137,213
Kazakhstan,1,4,3,8,2,3,4,9,3,2,6,11,2,5,10,17,16123,17085,17085,18158,12381.0,17754.0,21878,23654,114,132,114,104
Kenya,1,4,2,7,6,4,6,16,2,4,7,13,6,6,1,13,35247,40844,40844,45926,2191.0,2618.0,3107,4353,46,56,47,89
Czech Republic,1,3,5,9,3,3,1,7,4,3,4,11,1,2,7,10,10267,10551,10551,10645,21045.0,28482.0,29270,36137,142,134,133,105
South Africa,1,3,2,6,0,1,0,1,4,1,1,6,2,6,2,10,48105,51123,51123,53676,10058.0,12854.0,13191,13738,106,136,125,137
Croatia,1,2,2,5,0,2,3,5,3,1,2,6,5,3,2,10,4496,4487,4487,4465,16203.0,21165.0,21167,24876,81,99,108,87
Lithuania,1,2,0,3,0,3,2,5,2,0,3,5,0,1,3,4,3327,3089,3089,2885,14644.0,22704.0,24704,30922,59,71,62,67
Egypt,1,1,3,5,0,0,2,2,0,3,1,4,0,0,3,3,72544,80472,80472,88488,7484.0,9831.0,11620,11616,97,103,113,120
Switzerland,1,1,3,5,2,1,4,7,2,2,0,4,3,2,2,7,7449,7770,7770,8122,45660.0,56389.0,60273,68461,98,84,102,104
Indonesia,1,1,2,4,1,1,4,6,0,2,1,3,1,2,0,3,229245,243423,243423,255994,5859.0,7850.0,9834,10619,38,24,22,28
Azerbaijan,1,0,4,5,1,1,4,6,2,2,5,9,1,7,10,18,8826,9302,9302,9781,5220.0,13189.0,16063,14448,36,44,53,56
Belgium,1,0,2,3,2,0,0,2,0,1,2,3,2,2,2,6,10470,10866,10866,11324,33545.0,39760.0,42409,48680,50,96,115,108
Bahamas,1,0,1,2,0,1,1,2,1,0,0,1,1,0,1,2,297,311,311,325,29379.0,32690.0,33252,35239,22,25,24,28
Dominican Republic,1,0,0,1,1,1,0,2,1,1,0,2,0,0,1,1,9165,9824,9824,10479,7608.0,10704.0,12208,16626,33,25,35,29
North Korea,0,4,1,5,2,2,2,6,4,0,3,7,2,3,2,7,23621,24326,24326,24984,473.0,551.0,643,642,36,63,51,35
Mexico,0,3,1,4,2,0,2,4,1,3,4,8,0,3,2,5,106577,114062,114062,121737,13878.0,16134.0,17213,19422,109,85,102,125
Portugal,0,2,1,3,1,1,0,2,0,1,0,1,0,0,1,1,10567,10736,10736,10826,22832.0,26573.0,26438,31604,81,77,77,92
Finland,0,2,0,2,1,1,2,4,0,2,1,3,0,0,1,1,5239,5355,5355,5477,33076.0,41130.0,40969,44995,53,58,55,56
Slovenia,0,1,3,4,1,2,2,5,1,1,2,4,1,2,1,4,2012,2004,2004,1984,22385.0,30070.0,29066,33947,79,62,65,61
Estonia,0,1,2,3,1,1,0,2,0,1,1,2,0,0,1,1,1332,1303,1303,1266,17965.0,24997.0,25996,31310,42,47,33,45
India,0,1,0,1,1,0,2,3,0,2,4,6,0,1,1,2,1090974,1173109,1173109,1251696,2474.0,3529.0,4861,5840,73,57,83,117
Colombia,0,0,2,2,0,2,1,3,1,3,5,9,3,2,3,8,41488,44206,44206,46737,7990.0,10454.0,12306,14352,53,64,104,147
Venezuela,0,0,2,2,0,0,1,1,1,0,0,1,0,2,1,3,25270,27224,27224,29276,12194.0,17706.0,18553,14213,48,109,70,87
Mongolia,0,0,1,1,2,2,0,4,0,2,3,5,0,1,1,2,2603,2784,2784,2993,5083.0,7227.0,10074,10524,20,29,29,43
Trinidad and Tobago,0,0,1,1,1,1,0,2,1,1,2,4,0,0,1,1,1237,1229,1229,1223,21910.0,31159.0,30063,26390,19,30,30,32
