Country,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Weighted-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Weighted-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Weighted-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Weighted-2004,GDP-2004,GDP-2008,GDP-2012,GDP-2016,Pop-2004,Pop-2008,Pop-2012,Pop-2016
United States,47,27,30,104,225,36,39,37,112,223,46,37,38,121,250,36,39,26,101,212,41642.0,48471.0,51737,57840,295517,309348,309348,321369
China,38,31,22,91,198,48,22,30,100,218,26,18,26,70,140,32,17,14,63,144,4381.0,7501.0,11137,13432,1302285,1336681,1336681,1367486
Great Britain,29,18,18,65,141,19,13,19,51,102,27,23,17,67,144,9,9,12,30,57,31688.0,36905.0,38297,44121,60488,62349,62349,64089
Russia,19,21,27,67,126,24,13,23,60,121,19,17,20,56,111,28,26,36,90,172,14728.0,21700.0,24279,24104,143320,142527,142527,142424
South Korea,13,9,8,30,65,13,11,8,32,69,9,3,9,21,42,9,12,9,30,60,21872.0,28550.0,33557,39567,48006,48637,48637,49116
Germany,11,20,13,44,86,16,11,14,41,84,17,10,15,42,86,13,16,20,49,91,32645.0,39835.0,43359,50575,82440,81645,81645,80855
France,11,11,13,35,68,7,16,20,43,73,10,18,14,42,80,11,9,13,33,64,32255.0,37416.0,39037,44422,63060,64941,64941,66554
Australia,8,15,12,35,66,14,15,17,46,89,8,11,10,29,56,17,16,17,50,100,34390.0,40527.0,42906,48135,20233,21516,21516,22752
Italy,8,9,11,28,53,8,9,10,27,52,8,12,8,28,56,10,11,11,32,63,32577.0,36514.0,36143,40231,59038,60749,60749,61856
Hungary,8,4,6,18,38,3,5,2,10,21,8,3,4,15,34,8,6,3,17,39,18544.0,22834.0,23179,27863,10058,9993,9993,9898
Japan,7,14,17,38,66,9,8,8,25,51,12,8,21,41,73,16,9,12,37,78,30836.0,35512.0,37629,40641,127716,127580,127580,126920
Iran,7,5,1,13,32,1,0,1,2,4,3,1,4,8,15,2,2,2,6,12,13190.0,16309.0,15846,13855,72283,76924,76924,81825
Netherlands,6,6,8,20,38,7,5,4,16,35,8,7,4,19,42,4,9,9,22,39,37263.0,46004.0,47342,52441,16300,16574,16574,16948
New Zealand,6,2,5,13,27,3,2,4,9,17,4,9,5,18,35,3,2,0,5,13,26745.0,31304.0,32734,39266,4049,4253,4253,4439
Ukraine,5,4,10,19,33,7,4,11,22,40,2,5,4,11,20,8,5,9,22,43,6536.0,9143.0,9389,11216,47003,45769,45769,44430
Cuba,5,3,7,15,28,3,10,17,30,46,5,2,4,11,23,9,7,11,27,52,3399.0,5386.0,6448,7657,11199,11099,11099,11032
Spain,4,10,6,20,38,5,11,3,19,40,7,4,6,17,35,3,11,6,20,37,27856.0,32590.0,31725,37310,43705,46506,46506,48147
Jamaica,4,5,3,12,25,5,4,2,11,25,6,3,2,11,26,2,1,2,5,10,7488.0,8581.0,8586,9818,2737,2848,2848,2951
Czech Republic,4,3,4,11,22,3,3,1,7,16,1,2,7,10,14,1,3,5,9,14,21045.0,28482.0,29270,36137,10267,10551,10551,10645
South Africa,4,1,1,6,15,0,1,0,1,2,2,6,2,10,20,1,3,2,6,11,10058.0,12854.0,13191,13738,48105,51123,51123,53676
North Korea,4,0,3,7,15,2,2,2,6,12,2,3,2,7,14,0,4,1,5,9,473.0,551.0,643,642,23621,24326,24326,24984
Brazil,3,5,9,17,28,3,4,10,17,27,7,6,6,19,39,5,2,3,10,22,10514.0,13397.0,15120,14326,186021,195835,195835,204260
Kazakhstan,3,2,6,11,19,2,3,4,9,16,2,5,10,17,26,1,4,3,8,14,12381.0,17754.0,21878,23654,16123,17085,17085,18158
Poland,3,2,6,11,19,4,5,2,11,24,2,3,6,11,18,3,2,5,10,18,14358.0,19620.0,23745,28321,38557,38617,38617,38563
Ethiopia,3,2,3,8,16,4,2,1,7,17,1,2,5,8,12,2,3,2,7,14,571.0,904.0,1315,2134,74355,86043,86043,99466
Croatia,3,1,2,6,13,0,2,3,5,7,5,3,2,10,23,1,2,2,5,9,16203.0,21165.0,21167,24876,4496,4487,4487,4465
Canada,2,6,10,18,28,3,9,8,20,35,4,3,15,22,33,3,6,3,12,24,34390.0,40159.0,42351,46554,32387,33760,33760,35100
Belarus,2,5,3,10,19,3,4,7,14,24,1,4,4,9,15,2,5,6,13,22,8463.0,13894.0,18097,17787,9807,9681,9681,9590
Kenya,2,4,7,13,21,6,4,6,16,32,6,6,1,13,31,1,4,2,7,13,2191.0,2618.0,3107,4353,35247,40844,40844,45926
Denmark,2,4,3,9,17,2,2,3,7,13,2,6,7,15,25,2,1,5,8,13,37792.0,44261.0,44893,52160,5433,5516,5516,5582
Romania,2,4,1,7,15,4,1,4,9,18,1,1,2,4,7,8,5,6,19,40,11808.0,18164.0,18834,24197,22198,21960,21960,21667
Azerbaijan,2,2,5,9,15,1,1,4,6,9,1,7,10,18,27,1,0,4,5,7,5220.0,13189.0,16063,14448,8826,9302,9302,9781
Switzerland,2,2,0,4,10,2,1,4,7,12,3,2,2,7,15,1,1,3,5,8,45660.0,56389.0,60273,68461,7449,7770,7770,8122
Norway,2,1,1,4,9,3,5,1,9,20,0,0,4,4,4,5,0,1,6,16,53167.0,61820.0,65101,58736,4625,4892,4892,5208
Lithuania,2,0,3,5,9,0,3,2,5,8,0,1,3,4,5,1,2,0,3,7,14644.0,22704.0,24704,30922,3327,3089,3089,2885
Sweden,1,4,3,8,14,0,4,1,5,9,2,6,3,11,21,4,2,1,7,17,34868.0,41877.0,45259,50062,9083,9433,9433,9802
Colombia,1,3,5,9,14,0,2,1,3,5,3,2,3,8,16,0,0,2,2,2,7990.0,10454.0,12306,14352,41488,44206,44206,46737
Mexico,1,3,4,8,13,2,0,2,4,8,0,3,2,5,8,0,3,1,4,7,13878.0,16134.0,17213,19422,106577,114062,114062,121737
Georgia,1,2,3,6,10,3,2,2,7,15,2,1,4,7,12,2,2,0,4,10,4539.0,7147.0,9799,12855,4791,4903,4903,4932
Argentina,1,1,2,4,7,2,0,4,6,10,3,1,0,4,11,2,0,4,6,10,12303.0,17567.0,19641,20308,39182,41344,41344,43432
Slovenia,1,1,2,4,7,1,2,2,5,9,1,2,1,4,8,0,1,3,4,5,22385.0,30070.0,29066,33947,2012,2004,2004,1984
Trinidad and Tobago,1,1,2,4,7,1,1,0,2,5,0,0,1,1,1,0,0,1,1,1,21910.0,31159.0,30063,26390,1237,1229,1229,1223
Turkey,1,1,1,3,6,1,1,3,5,8,1,3,4,8,13,3,3,5,11,20,13045.0,17042.0,20504,26514,70465,74687,74687,79415
Dominican Republic,1,1,0,2,5,1,1,0,2,5,0,0,1,1,1,1,0,0,1,3,7608.0,10704.0,12208,16626,9165,9824,9824,10479
Chinese Taipei,1,0,1,2,4,1,1,2,4,7,1,0,2,3,5,2,2,1,5,11,26562.0,34952.0,41741,47272,22728,23127,23127,23416
Bahamas,1,0,0,1,3,0,1,1,2,3,1,0,1,2,4,1,0,1,2,4,29379.0,32690.0,33252,35239,297,311,311,325
Venezuela,1,0,0,1,3,0,0,1,1,1,0,2,1,3,5,0,0,2,2,2,12194.0,17706.0,18553,14213,25270,27224,27224,29276
Egypt,0,3,1,4,7,0,0,2,2,2,0,0,3,3,3,1,1,3,5,8,7484.0,9831.0,11620,11616,72544,80472,80472,88488
India,0,2,4,6,8,1,0,2,3,5,0,1,1,2,3,0,1,0,1,2,2474.0,3529.0,4861,5840,1090974,1173109,1173109,1251696
Mongolia,0,2,3,5,7,2,2,0,4,10,0,1,1,2,3,0,0,1,1,1,5083.0,7227.0,10074,10524,2603,2784,2784,2993
Thailand,0,2,2,4,6,2,2,2,6,12,2,2,2,6,12,3,1,4,8,15,9611.0,12256.0,14871,16616,65113,66721,66721,67977
Bulgaria,0,2,1,3,5,1,1,3,5,8,0,1,2,3,4,2,1,9,12,17,9965.0,14638.0,16295,20091,7612,7392,7392,7187
Finland,0,2,1,3,5,1,1,2,4,7,0,0,1,1,1,0,2,0,2,4,33076.0,41130.0,40969,44995,5239,5355,5355,5477
Indonesia,0,2,1,3,5,1,1,4,6,9,1,2,0,3,7,1,1,2,4,7,5859.0,7850.0,9834,10619,229245,243423,243423,255994
Slovakia,0,1,3,4,5,3,3,0,6,15,2,2,0,4,10,2,2,2,6,12,16258.0,24471.0,26983,29681,5408,5427,5427,5446
Belgium,0,1,2,3,4,2,0,0,2,6,2,2,2,6,12,1,0,2,3,5,33545.0,39760.0,42409,48680,10470,10866,10866,11324
Estonia,0,1,1,2,3,1,1,0,2,5,0,0,1,1,1,0,1,2,3,4,17965.0,24997.0,25996,31310,1332,1303,1303,1266
Portugal,0,1,0,1,2,1,1,0,2,5,0,0,1,1,1,0,2,1,3,5,22832.0,26573.0,26438,31604,10567,10736,10736,10826
Uzbekistan,0,0,3,3,3,0,1,3,4,5,4,2,7,13,23,2,1,2,5,10,3374.0,4894.0,6107,6856,26540,27866,27866,29200
Greece,0,0,2,2,2,0,2,1,3,5,3,1,2,6,13,6,6,4,16,34,25345.0,30519.0,24819,27449,10669,10750,10750,10776
Morocco,0,0,1,1,1,0,1,1,2,3,0,0,1,1,1,2,1,0,3,8,4663.0,6008.0,6857,7356,29901,31628,31628,33323
